index,year,Cp_ng_cc_ccs,fom_ng_cc_ccs,vom_ng_cc_ccs,Cp_ng_ct,fom_ng_ct,vom_ng_ct,Cp_wind,fom_wind,ptc_wind,CE,CP,Cp_pv,fom_pv,itc_pv,fom_battery
1,2023,2209.36598,63,30.66633242,853.0455249,21,38.48557977,1308.4,41.785,0,254.8357829,236.3651023,1073.834121,19.35442986,0,31.39270584
2,2024,2179.761573,63,28.41790767,833.3092531,21,35.43324896,1257.2,41.38,0,229.5467357,248.575291,1027.793727,18.75899579,0,29.16905585
3,2025,2155.639463,63,27.1894721,817.9588195,21,33.7655962,1206,40.975,0,215.9295565,240.2585963,981.7533323,18.1653519,0,27.59942055
4,2026,2122.745676,63,26.82358347,809.1871432,21,33.5479875,1154.8,40.57,0,202.3123772,247.6382545,935.7129378,17.57342551,0,26.42219409
5,2027,2088.755431,62,27.29235863,798.2225477,21,34.48172734,1103.6,40.165,0,190.6405093,252.468785,889.6725433,16.9831478,0,25.37577056
6,2028,2059.151023,62,28.22180525,791.6437905,21,36.12333531,1052.4,39.76,0,178.9686414,252.0671979,843.6321488,16.39445359,0,24.19854409
7,2029,2028.450156,62,28.79643428,785.0650332,21,37.25347033,1001.2,39.355,0,167.2967735,262.1298461,797.5917543,15.80728111,0,23.2829235
8,2030,2001.038667,62,29.20097986,780.679195,21,38.16375356,950,38.95,0,157.5702169,264.411249,751.5513599,15.22157173,0,22.36730291
9,2031,1972.530719,62,29.5209126,775.1968973,21,38.97076828,940.5,38.657875,0,155.649222,261.3563073,744.8543938,15.12086937,0,22.09882988
10,2032,1945.11923,61,29.46130051,770.8110591,21,39.29230691,931,38.36575,0,153.6795942,258.0511667,738.1574277,15.02042613,0,21.81923859
11,2033,1917.707742,61,29.65820046,766.425221,21,39.94798001,921.5,38.073625,0,151.7099665,254.746026,731.4604617,14.92023778,0,21.5396473
12,2034,1885.910415,61,29.33407534,763.1358423,21,39.89341727,912,37.7815,0,149.7403388,251.4408854,724.7634956,14.82030016,0,21.26005602
13,2035,1854.113088,61,29.03303994,758.7500042,21,39.87245299,902.5,37.489375,0,147.7707111,248.1357448,718.0665295,14.72060919,0,20.98046473
14,2036,1822.315761,60,28.77187414,754.364166,21,39.96723801,893,37.19725,0,145.8010834,244.8306042,711.3695635,14.62116091,0,20.70087345
15,2037,1791.614894,60,28.59043961,749.9783278,21,40.13265168,883.5,36.905125,0,143.8314557,241.5254636,704.6725974,14.52195142,0,20.42128216
16,2038,1759.817567,60,28.41604233,746.6889492,21,40.31344108,874,36.613,0,141.861828,238.220323,697.9756313,14.42297691,0,20.14169087
17,2039,1745.563593,60,28.42282086,742.303111,21,40.32411973,864.5,36.320875,0,139.8922003,234.9151824,691.2786653,14.32423365,0,19.86209959
18,2040,1730.21316,60,28.63893053,737.9172728,21,40.66457127,855,36.02875,0,137.9225726,231.6100418,684.5816992,14.22571798,0,19.5825083
19,2041,1714.862726,60,28.67577432,733.5314347,21,40.72261368,845.5,35.736625,0,135.9529448,228.3049011,677.8847331,14.12742634,0,19.30291701
20,2042,1699.512293,60,28.53726479,730.242056,21,40.50441066,836,35.4445,0,133.9833171,224.9997605,671.1877671,14.02935522,0,19.02332573
