Utility ID,Plant Code,State,Type,Utility Name,Plant Name,Nameplate Capacity (MW)_sum,Minimum Load (MW)_sum,Zip,County,Latitude,Longitude,index,type,location_node,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,RUrate,RDrate,c0,c1,c2,SUcost,SDcost,UPtime,DNtime,Zone,ave_marg_damages_isrm_LePeule,Planned Retirement Year,Retirement Year,PlannedRetirementYear,CO2mtonperMWh,SO2mtonperMWh,NOxmtonperMWh,PM25mtonperMWh
22379,540,CT,Oil,Connecticut Jet Power LLC,Branford,21.8,17.4,6450,NEW HAVEN,41.2925,-72.7942,1,Oil,6,0,0,0,0,0,1,0,21.8,7.63,400,400,0,207.0218,0,94146,0,16,11,CT,72.79641688,,,2100,1.433523528,0.03068225,0.123309981,0.000936402
22379,542,CT,Oil,Connecticut Jet Power LLC,Cos Cob,115,95.6,6430,FAIRFIELD,41.0289,-73.5989,2,Oil,6,0,0,0,0,0,1,0,115,40.25,400,400,0,207.115,0,94146,0,16,11,CT,151.8447747,,,2100,1.433523528,0.03068225,0.123309981,0.000936402
22350,544,CT,Oil,Devon Power LLC,Devon Station,222.6,78.4,6460,NEW HAVEN,41.209797,-73.108976,3,Oil,6,0,0,0,0,0,1,0,222.6,77.91,400,400,0,207.2226,0,94146,0,16,11,CT,21.94525142,,,2100,1.433523528,0.03068225,0.123309981,0.000936402
22380,546,CT,Oil,NRG Montville Operations Inc,Montville Station,495.3,167,6382,NEW LONDON,41.4281,-72.1019,4,Oil,6,0,0,0,0,0,1,0,495.3,173.355,400,400,0,207.4953,0,94146,0,16,11,CT,131.7203012,,,2100,1.433523528,0.03068225,0.123309981,0.000936402
54895,557,CT,Oil,FirstLight Power Resources Services LLC,Tunnel,18.5,5,6365,NEW LONDON,41.555425,-72.041829,5,Oil,6,0,0,0,0,0,1,0,18.5,6.475,400,400,0,207.0185,0,94146,0,16,11,CT,242.6216617,,,2100,1.433523528,0.03068225,0.123309981,0.000936402
22379,561,CT,Oil,Connecticut Jet Power LLC,Franklin Drive,21.8,16.1,6790,LITCHFIELD,41.798943,-73.116267,6,Oil,6,0,0,0,0,0,1,0,21.8,7.63,400,400,0,207.0218,0,94146,0,16,11,CT,206.9482785,,,2100,1.433523528,0.03068225,0.123309981,0.000936402
12490,562,CT,Oil,Middletown Power LLC,Middletown,433.4,130,6457,MIDDLESEX,41.554944,-72.579075,7,Oil,6,0,0,0,0,0,1,0,433.4,151.69,400,400,0,207.4334,0,94146,0,16,11,CT,19.18844466,,,2100,1.433523528,0.03068225,0.123309981,0.000936402
12490,562,CT,Gas_Steam,Middletown Power LLC,Middletown,353,145,6457,MIDDLESEX,41.554944,-72.579075,8,Gas,6,0,0,0,0,0,1,0,353,70.6,400,400,0,56.353,0,14238,0,8,6,CT,19.18844466,,,2100,0.877847527,0.001864909,0.021010779,0.0000383
4426,563,CT,Oil,NAES Corp,South Meadow,167.2,40,6162,HARTFORD,41.7495,-72.6524,9,Oil,6,0,0,0,0,0,1,0,167.2,58.52,400,400,0,207.1672,0,94146,0,16,11,CT,504.6230196,2023,,2023,1.433523528,0.03068225,0.123309981,0.000936402
22379,565,CT,Oil,Connecticut Jet Power LLC,Torrington Terminal,21.8,17.4,6790,LITCHFIELD,41.776109,-73.120886,10,Oil,6,0,0,0,0,0,1,0,21.8,7.63,400,400,0,207.0218,0,94146,0,16,11,CT,339.9972675,,,2100,1.433523528,0.03068225,0.123309981,0.000936402
