index,type,location_node,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,c2,c1,c0,SUcost,SDcost,RUrate,RDrate,UPtime,DNtime,Zone,CO2mtonperMWh,SO2mtonperMWh,NOxmtonperMWh,PM25mtonperMWh
1,Nuclear,2,0,0,0,0,0,1,0,1244,995.2,0.0002,10,1000,950000,0,120,120,24,49,NH,0,0,0,0
2,Nuclear,6,0,0,0,0,0,1,0,1235,988,0.00023,10,1250,850000,0,120,120,24,48,CT,0,0,0,0
3,Nuclear,6,0,0,0,0,0,1,0,881,704.8,0.00015,5,1500,900000,0,120,120,24,48,CT,0,0,0,0
4,Nuclear,8,0,0,0,0,0,1,0,684.7,547.76,0.00021,7,1250,875000,0,120,120,24,48,SEMASS,0,0,0,0
5,Nuclear,3,0,0,0,0,0,1,0,620.2,496.16,0.00022,11,1500,925000,0,120,120,24,47,VT,0,0,0,0
6,Coal,7,0,0,0,0,0,1,0,612,244.8,0.00012,18.28,3042.4,20915.15,0,120,120,24,60,RI,2.51,0.007345689,0.007556526,0.000125662
7,Coal,6,0,0,0,0,0,1,0,372.2,148.88,0.00167,19.98,1540,17336.83,0,120,120,24,24,CT,0.37,0.00053081,0.003626814,4.29486E-06
8,Coal,6,0,0,0,0,0,1,0,372.2,148.88,0.00167,19.98,1535,17500,0,120,120,24,24,CT,0.37,0.00053081,0.003626814,4.29486E-06
9,Coal,7,0,0,0,0,0,1,0,244,97.6,0.00012,18.1,1212.98,16860.36,0,120,120,8,16,RI,2.51,0.007345689,0.007556526,0.000125662
10,Coal,7,0,0,0,0,0,1,0,243.5,97.4,0.00012,18.2,1210.5,13947.52,0,120,120,8,16,RI,2.51,0.007345689,0.007556526,0.000125662
11,Coal,1,0,0,0,0,0,1,0,149.8,59.92,0.00012,18.4,744.69,13872.67,0,120,120,16,13,ME,2.51,0.001255623,0.002805253,0.000125662
12,Coal,4,0,0,0,0,0,1,0,144.4,57.76,0.00012,18.3,717.85,13727.67,0,120,120,8,9,WCMASS,2.51,0.001255623,0.007556526,0.000125662
13,Coal,1,0,0,0,0,0,1,0,82,32.8,0.00012,18.4,407.64,3486.01,0,120,120,16,12,ME,3.44,0.001255623,0.002805253,0.000125662
14,Coal,1,0,0,0,0,0,1,0,80,32,0.00012,18.3,397.7,2441.71,0,120,120,16,12,ME,3.44,0.001255623,0.002805253,0.000125662
15,Coal,2,0,0,0,0,0,1,0,95.4,19.16,0.00167,19.98,238.12,5774.179,0,120,120,8,8,NH,1.59,0.010390721,0.009932163,0.000125662
16,Oil,1,0,0,0,0,0,1,0,600.4,210.14,0.02367,160.55,10379,115287,0,400,400,10,8,ME,1.76,0.002975331,0.002281276,8.05419E-06
17,Oil,8,0,0,0,0,0,1,0,558.7,195.545,0.0346,153.16,10707,272400.8,0,400,400,24,32,SEMASS,1.15,0.003681741,0.010182788,6.12636E-05
18,Oil,8,0,0,0,0,0,1,0,553,193.55,0.03463,192.06,12828,191144.1,0,400,400,24,32,SEMASS,1.15,0.003681741,0.010182788,6.12636E-05
19,Oil,6,0,0,0,0,0,1,0,447.9,156.765,0.0236,160,7000,100000,0,400,400,14,8,CT,1.47,0.003259026,0.007102736,7.96902E-05
20,Oil,7,0,0,0,0,0,1,0,435,152.25,0.0345,192,10000,120000,0,400,400,12,9,RI,4.68,0.005561221,0.008107269,0.000049672
21,Oil,1,0,0,0,0,0,1,0,431,150.85,0.0312,233,8260,85000,0,400,400,16,12,ME,1.76,0.002975331,0.002281276,8.05419E-06
22,Oil,6,0,0,0,0,0,1,0,407.4,142.59,0.00598,233.42,7367,86332.49,0,400,400,16,15,CT,1.47,0.003259026,0.007102736,7.96902E-05
23,Oil,2,0,0,0,0,0,1,0,400.2,140.07,0.0014,54.57,3175,32566.38,0,400,400,6,5,NH,2.91,0.013479867,0.013364546,3.46668E-05
24,Oil,6,0,0,0,0,0,1,0,400,140,0.02184,200.14,11358,62461.34,0,400,400,16,11,CT,1.47,0.003259026,0.007102736,7.96902E-05
25,Oil,6,0,0,0,0,0,1,0,236,82.6,0.03463,192.06,5000,120000,0,400,400,16,40,CT,1.47,0.003259026,0.007102736,7.96902E-05
