index,from_node,to_node,r,x,b,s_max,From Zone,To Zone,Distance (miles),Resistance (ohms),Reactance (ohms),Line Type
1,1,2,0.000160386,0.000454106,2202.129018,1200,ME,NH,115,19.09,54.05,Overhead
2,3,2,0.000139466,0.000394875,2532.446977,1200,VT,NH,100,16.6,47,Overhead
3,3,4,0.0002092,0.000592313,1688.296559,1200,VT,WCMA,150,24.9,70.5,Overhead
4,4,2,0.000119975,0.000339593,2944.701451,1200,WCMA,NH,86,14.28,40.42,Overhead
5,5,4,0.000111573,0.0003159,3165.558721,1200,NEMA/BOST,WCMA,80,13.28,37.6,Overhead
6,5,2,0.0000879,0.000248771,4019.761146,1200,NEMA/BOST,NH,63,10.46,29.61,Overhead
7,5,8,0.0000418,0.000118463,8441.454294,1200,NEMA/BOST,SEMA,30,4.98,14.1,Overhead
8,4,6,0.0000418,0.000118463,8441.454294,1200,WCMA,CT,30,4.98,14.1,Overhead
9,4,7,0.0000907,0.000256669,3896.068477,1200,WCMA,RI,65,10.79,30.55,Overhead
10,5,7,0.0000558,0.00015795,6331.117442,1200,NEMA/BOST,RI,40,6.64,18.8,Overhead
11,6,7,0.0000892,0.00025272,3956.948401,1200,CT,RI,64,10.62,30.08,Overhead
12,8,7,0.0000279,0.000079,12658.22785,1200,SEMA,RI,20,3.32,9.4,Overhead
13,9,8,0.000154107,0.001214982,823.0575523,0,VINE,SEMA,57,18.3426,144.6132165,Submarine
14,9,10,4.33E-05,0.004328373,231.0336989,0,VINE,MFLR1,16,5.1488,515.1845838,Submarine
15,9,11,4.33E-05,0.004328373,231.0336989,0,VINE,MFLR2,16,5.1488,515.1845838,Submarine
16,9,12,4.87E-05,0.003847443,259.9129113,0,VINE,COMW,18,5.7924,457.9418522,Submarine
17,9,13,3.51E-05,0.005327228,187.7148804,0,VINE,PKCTY,13,4.1834,634.0733339,Submarine
18,10,8,1.97E-04,0.000948684,1054.091251,0,MFLR1,SEMA,73,23.4914,112.917169,Submarine
19,10,11,1.08E-05,0.017313492,57.75842472,0,MFLR1,MFLR2,4,1.2872,2060.738335,Submarine
20,10,12,1.08E-05,0.017313492,57.75842472,0,MFLR1,COMW,4,1.2872,2060.738335,Submarine
21,10,13,1.89E-05,0.009893424,101.0772433,0,MFLR1,PKCTY,7,2.2526,1177.564763,Submarine
22,11,8,1.97E-04,0.000948684,1054.091251,0,MFLR2,SEMA,73,23.4914,112.917169,Submarine
23,11,12,2.16E-05,0.008656746,115.5168494,0,MFLR2,COMW,8,2.5744,1030.369168,Submarine
24,11,13,2.43E-05,0.007694885,129.9564556,0,MFLR2,PKCTY,9,2.8962,915.8837045,Submarine
25,12,8,2.00E-04,0.000935864,1068.530857,0,COMW,SEMA,74,23.8132,111.3912614,Submarine
26,12,13,1.62E-05,0.011542328,86.63763709,0,COMW,PKCTY,6,1.9308,1373.825557,Submarine
27,13,8,0.000183847,0.001018441,981.8932203,0,PKCTY,SEMA,68,21.8824,121.2199021,Submarine
28,14,6,0.000246031,0.000761033,1314.004162,0,CTREV,CT,91,29.2838,90.58190484,Submarine
29,15,7,0.000121664,0.001538977,649.7822781,0,RIREV,RI,45,14.481,183.1767409,Submarine
