,ME,NH,VT,WCMA,NEMA,CT,RI,SEMA,VINE,MFLR1,MFLR2,COMW,PKCTY,CTREV,RIREV
t1,976.535,940.132,468.294,1496.699,2109.006,2727.114,756.68,1322.388,0,0,0,0,0,0,0
t2,954.758,907.35,454.874,1437.857,1999.385,2579.066,719.969,1256.237,0,0,0,0,0,0,0
t3,946.031,890.986,446.165,1403.619,1939.404,2488.861,696.881,1216.795,0,0,0,0,0,0,0
t4,954.27,890.712,438.88,1390.481,1920.501,2441.478,690.503,1197.635,0,0,0,0,0,0,0
t5,976.791,921.767,448.585,1413.994,1959.565,2463.441,700.24,1220.919,0,0,0,0,0,0,0
t6,1065.462,1007.311,483.491,1510.856,2090.409,2630.751,731.879,1303.785,0,0,0,0,0,0,0
t7,1207.344,1143.983,552.366,1690.119,2330.357,2937.178,810.658,1454.776,0,0,0,0,0,0,0
t8,1298.26,1235.231,591.688,1784.14,2504.256,3137.654,868.654,1553.819,0,0,0,0,0,0,0
t9,1339.173,1280.539,587.417,1810.569,2615.648,3230.814,906.008,1596.965,0,0,0,0,0,0,0
t10,1353.28,1297.794,569.715,1818.342,2689.899,3279.703,932.393,1615.404,0,0,0,0,0,0,0
t11,1364.389,1315.879,542.43,1834.548,2726.281,3363.403,959.861,1631.903,0,0,0,0,0,0,0
t12,1364.738,1322.773,522.954,1850.16,2759.51,3459.434,974.11,1632.131,0,0,0,0,0,0,0
t13,1358.53,1320.638,512.361,1867.505,2763.483,3552.575,987.504,1629.796,0,0,0,0,0,0,0
t14,1354.711,1322.155,534.466,1899.831,2754.85,3661.986,1002.962,1641.756,0,0,0,0,0,0,0
t15,1336.63,1314.489,550.225,1906.029,2731.509,3661.7,1009.575,1629.82,0,0,0,0,0,0,0
t16,1327.591,1310.127,569.397,1927.983,2713.94,3746.628,1017.769,1630.699,0,0,0,0,0,0,0
t17,1357.746,1325.815,582.035,1958.062,2724.772,3845.434,1021.162,1674.588,0,0,0,0,0,0,0
t18,1406.221,1357.968,611.47,2003.491,2748.503,3926.037,1014.56,1734.908,0,0,0,0,0,0,0
