index,node,Zone,is_slack,Pd,Qd,Vmax,Vmin,Gs,Bs,baseKV
1,1,ME,0,1914.51955,0,1.1,0.9,0,0,345
2,2,NH,0,1370.60352,0,1.1,0.9,0,0,345
3,3,VT,0,428.212224,0,1.1,0.9,0,0,345
4,4,WCMA,0,869.941248,0,1.1,0.9,0,0,345
5,5,NEMA,0,1174.88026,0,1.1,0.9,0,0,345
6,6,CT,0,846.692352,0,1.1,0.9,0,0,345
7,7,RI,0,598.523904,0,1.1,0.9,0,0,345
8,8,SEMA,1,2463.30163,0,1.1,0.9,0,0,345
9,9,VINE,0,0,0,1.1,0.9,0,0,345
10,10,MFLR1,0,0,0,1.1,0.9,0,0,345
11,11,MFLR2,0,0,0,1.1,0.9,0,0,345
12,12,COMW,0,0,0,1.1,0.9,0,0,345
13,13,PKCTY,0,0,0,1.1,0.9,0,0,345
14,14,CTREV,0,0,0,1.1,0.9,0,0,345
15,15,RIREV,0,0,0,1.1,0.9,0,0,345
